Freq,SA Max Hold,N medición
4116000000,-68.5091945604959,\TRACE1107202301.csv
4116400000,-68.9503269872931,\TRACE1107202301.csv
4116800000,-68.872497083992,\TRACE1107202301.csv
4117200000,-66.1872279161743,\TRACE1107202301.csv
4117600000,-67.8184083327333,\TRACE1107202301.csv
4118000000,-68.8536027782161,\TRACE1107202301.csv
4118400000,-69.2733951630271,\TRACE1107202301.csv
4118800000,-68.1303304604682,\TRACE1107202301.csv
4119200000,-68.8550419112933,\TRACE1107202301.csv
4119600000,-68.8831213135331,\TRACE1107202301.csv
4120000000,-68.3791172250672,\TRACE1107202301.csv
4120400000,-68.2942299590278,\TRACE1107202301.csv
4120800000,-69.2080311012409,\TRACE1107202301.csv
4121200000,-68.7378286107467,\TRACE1107202301.csv
4121600000,-67.5029875713774,\TRACE1107202301.csv
4122000000,-68.8529371881253,\TRACE1107202301.csv
4122400000,-68.019613714905,\TRACE1107202301.csv
4122800000,-67.9034305807953,\TRACE1107202301.csv
4123200000,-68.3526746914856,\TRACE1107202301.csv
4123600000,-66.6045708032517,\TRACE1107202301.csv
4124000000,-68.8947423887348,\TRACE1107202301.csv
4124400000,-67.8218483539727,\TRACE1107202301.csv
4124800000,-67.9638288508251,\TRACE1107202301.csv
4125200000,-69.0966069954356,\TRACE1107202301.csv
4125600000,-66.2279508437204,\TRACE1107202301.csv
4126000000,-67.3263078848757,\TRACE1107202301.csv
4126400000,-68.4638810616558,\TRACE1107202301.csv
4126800000,-68.8649673913044,\TRACE1107202301.csv
4127200000,-69.5531067736338,\TRACE1107202301.csv
4127600000,-68.2210245765704,\TRACE1107202301.csv
4128000000,-68.2984977675489,\TRACE1107202301.csv
4128400000,-68.6429791413251,\TRACE1107202301.csv
4128800000,-68.3996349573734,\TRACE1107202301.csv
4129200000,-68.0852181333295,\TRACE1107202301.csv
4129600000,-68.3379436781244,\TRACE1107202301.csv
4130000000,-68.2669824692649,\TRACE1107202301.csv
4130400000,-68.0645641582571,\TRACE1107202301.csv
4130800000,-68.1985315107173,\TRACE1107202301.csv
4131200000,-69.7646547610337,\TRACE1107202301.csv
4131600000,-68.6904781951913,\TRACE1107202301.csv
4132000000,-68.8301278357069,\TRACE1107202301.csv
4132400000,-69.0892083896435,\TRACE1107202301.csv
4132800000,-69.1816628962456,\TRACE1107202301.csv
4133200000,-68.5592428742515,\TRACE1107202301.csv
4133600000,-68.2072925473171,\TRACE1107202301.csv
4134000000,-69.1581502947591,\TRACE1107202301.csv
4134400000,-67.7372380621434,\TRACE1107202301.csv
4134800000,-67.2486333901644,\TRACE1107202301.csv
4135200000,-69.1422323036057,\TRACE1107202301.csv
4135600000,-68.5743825036167,\TRACE1107202301.csv
4136000000,-69.0866510506724,\TRACE1107202301.csv
4136400000,-69.108893893092,\TRACE1107202301.csv
4136800000,-68.5361444674231,\TRACE1107202301.csv
4137200000,-68.7950320891528,\TRACE1107202301.csv
4137600000,-67.5741922240545,\TRACE1107202301.csv
4138000000,-68.8658953596367,\TRACE1107202301.csv
4138400000,-67.8838054523739,\TRACE1107202301.csv
4138800000,-68.8842758435697,\TRACE1107202301.csv
4139200000,-68.7099998629382,\TRACE1107202301.csv
4139600000,-68.7448957052321,\TRACE1107202301.csv
4140000000,-68.0381546547469,\TRACE1107202301.csv
